01A01,Headwaters Saint John
01A02,Allagash (U.S.A.)
01A03,Upper Saint John
01A04,Aroostook
01A05,Tobique
01A06,Central Saint John
01A07,Nashwaak
01A08,Oromocto
01A09,Salmon (N.B.)
01A10,Lower Saint John
01A11,St. Croix
01B01,Upper Restigouche
01B02,Kedgwick
01B03,Central Restigouche
01B04,Matapédia
01B05,Upsalquitch
01B06,Lower Restigouche
01B07,Chaleur Bay
01B08,Nepisiguit
01B09,Acadian Peninsula
01B10,SW Miramichi -- Upper
01B11,SW Miramichi -- Central
01B12,Miramichi
01B13,Little SW Miramichi
01B14,NW Miramichi
01B15,Kouchibouguac
01B16,Richibucto
01B17,Kinnear
01B18,Petitcodiac
01B19,Point Wolfe
01B20,Saint John Water Supply
01C01,Western P.E.I.
01C02,Central P.E.I.
01C03,Northeastern P.E.I.
01C04,Southeastern P.E.I.
01D01,French Shore
01D02,Fundy Shore
01D03,Southern Minas
01D04,Shubenacadie
01D05,Northern Minas
01D06,Chignecto Bay
01D07,North Shore
01E01,Clyde
01E02,Jordan Diversion
01E03,Mersey
01E04,LaHave
01E05,Mahone -- Halifax
01E06,Ingram Diversion
01E07,Eastern Shore
01F01,Western Cape Breton
01F02,Wreck Cove Diversions
01F03,Eastern Cape Breton
01F04,Central Cape Breton
02A01,Northwestern Lake Superior
02A02,Nipigon
02B01,Northeastern Lake Superior
02C01,North Channel
02C02,Spanish
02C03,Onaping Diversion
02C04,Vermilion (Ont.)
02C05,Killarney
02C06,Manitoulin Island
02D01,Wanapitei
02D02,Sturgeon (Ont.)
02D03,French
02E01,Eastern Georgian Bay
02E02,Southeastern Georgian Bay
02F01,SW Georgian Bay
02F02,Bruce Peninsula
02F03,Saugeen
02F04,Penetangore
02F05,Maitland
02F06,Ausable
02G01,St. Clair River
02G02,Thames
02G03,Erie -- St. Clair
02G04,Rondeau
02G05,Big (Ont.)
02G06,Grand
02H01,Welland
02H02,Niagara
02H03,Credit and Sixteen Mile
02H04,Humber and Don
02H05,Ganaraska
02H06,Prince Edward
02H07,Kawartha Lakes
02H08,Trent
02H09,Moira
02H10,Napanee
02J01,Headwaters Ottawa
02J02,Blanche
02J03,Montreal
02J04,Kipawa
02K01,Holden Lake
02K02,Dumoine
02K03,Petawawa
02K04,Bonnechere
02K05,Noire
02K06,Coulonge
02K07,Madawaska
02K08,Mississippi
02L01,Barrière Diversion
02L02,Gatineau
02L03,Rideau
02L04,South Nation
02L05,du Lièvre
02L06,de la Petite Nation
02L07,Rouge and du Nord
02M01,Upper St. Lawrence
02N01,Upper Saint-Maurice
02N02,Lower Saint-Maurice
02O01,Île de Montréal
02O02,L'Assomption
02O03,du Loup -- Lac Saint-Pierre
02O04,Richelieu
02O05,Yamaska
02O06,Saint-François
02O07,Nicolet
02P01,Batiscan
02P02,Sainte-Anne
02P03,Jacques-Cartier
02P04,Montmorency
02P05,du Gouffre
02P06,Malbaie
02P07,Bécancour
02P08,du Chêne
02P09,Chaudière
02P10,Etchemin
02P11,du Loup
02Q01,Rimouski
02Q02,Matane
02Q03,Madeleine
02R01,Péribonka
02R02,Manouane Diversion
02R03,Manouane (II) Diversion
02R04,Mistassini
02R05,Ashuapmushuan
02R06,Lac Saint-Jean
02R07,Saguenay
02S01,Portneuf
02S02,Sault aux Cochons Diversion
02S03,Betsiamites
02S04,de Papinachois
02T01,aux Outardes
02T02,Manicouagan
02U01,Pentecôte
02U02,Sainte-Marguerite
02U03,Moisie
02U04,au Bouleau
02V01,Manitou
02V02,Magpie
02V03,Romaine
02W01,Aguanish
02W02,Natashquan
02W03,Olomane
02W04,Anticosti Island
02W05,Îles de la Madeleine
02X01,Little Mecatina
02X02,du Gros Mécatina
02X03,St. Augustin
02X04,Coxipi
02X05,St. Paul
02X06,Strait of Belle Isle -- North Shore
02Y01,Port au Port Bay
02Y02,Humber
02Y03,Bonne Bay
02Y04,Portland Cove
02Y05,St. John Bay
02Y06,Strait of Belle Isle -- South Shore
02Y07,Hare Bay
02Y08,Canada Bay
02Y09,Western White Bay
02Y10,S. and E. White Bay
02Y11,Deer Lake Diversion
02Y12,Western Notre Dame Bay
02Y13,Southwestern Notre Dame Bay
02Y14,Red Indian Lake
02Y15,Exploits
02Y16,Gander River
02Y17,Northwestern Bonavista Bay
02Y18,S. and E. Bonavista Bay
