Com_id,Population
0,98222
1,60286
2,168820
3,22484
4,536
5,10176
6,2911
7,4311
8,179582
9,633
10,633
11,615
12,2031
13,97963
14,26453
15,955
16,280
17,12579
18,0
19,11823
20,443
21,18191
22,793
23,52388
24,833
25,773
26,2318
27,3867
28,5
29,18245
30,2031
31,0
32,5791
33,195
34,1872
35,4955
36,552
37,82158
38,91005
39,11649
40,5196
41,231600
42,0
43,240
44,17982
45,1554
46,6352
47,269393
48,149
49,1028
50,924
51,1268
52,3289
53,3735
54,411
55,9354
56,419
57,2764
58,1313
59,7287
60,806
61,1351
62,3677
63,829
64,649
65,3634
66,4365
67,2600
68,23618
69,445
70,1118
71,2153
72,5050
73,70287
74,1608
75,42156
76,5311
77,627
78,1143
79,2718
80,1363
81,42471
82,642
83,3716
84,489
85,3800
86,131
87,669
88,5381
89,2600
90,2600
91,14768
92,94990
93,93713
94,91345
95,1179
96,573
97,313
98,240
99,439
100,95452
101,18039
102,8639
103,64689
104,196142
105,3469
106,934
107,19867
108,10302
109,339
110,61744
111,19371
112,1194
113,715
114,539
115,834
116,4005
117,11198
118,5011
119,89703
120,4484
121,3427
122,0
123,0
124,4710
125,1487
126,123249
127,19
128,18435
129,19963
130,0
131,2887
132,10
133,141
134,763
135,734
136,132315
137,472
138,949
139,474
140,203
141,1926
142,914
143,1434
144,1385
145,2368
146,5194
147,0
148,11149
149,3406
150,767
151,2052
152,27704
153,28305
154,565
155,18094
156,546
157,713842
158,33907
159,10922
160,7780
161,1384
162,337749
163,360
164,3331
165,4262
166,7225
167,10
168,874
169,6433
170,33432
171,515
172,666
173,1860
174,5215
175,334
176,115985
177,1353
178,2700
179,4040
180,253
181,6606
182,80130
183,3323
184,2208
185,4098
186,2271
187,4144
188,1648
189,405
190,1279
191,4348
192,49349
193,1748
194,960
195,673
196,130
197,210
198,5202
199,15
200,143
201,3923
202,8849
203,79329
204,279
205,546
206,132
207,1251
208,254
209,1183
210,1235
211,777
212,141381
213,151
214,973
215,402
216,42132
217,556
218,6053
219,31286
220,253
221,1454
222,14479
223,27222
224,3193
225,1597
226,3463
227,3463
228,6699
229,1412
230,315
231,1498
232,370
233,2962
234,64
235,3898
236,45
237,3843
238,2741844
239,92102
240,1480
241,874
242,696
243,549
244,4798
245,0
246,2031
247,1260606
248,3039
249,212
250,340
251,4868
252,3644
253,12981
254,455
255,0
256,90988
257,1910
258,239
259,3479
260,327
261,1272
262,13701
263,18360
264,18262
265,5219
266,130
267,54
268,223423
269,771
270,2375
271,1531
272,250
273,5207
274,24282
275,1039415
276,163285
277,83
278,180
279,1960659
280,1360
281,14768
282,0
283,249
284,2413
285,1558
286,5045
287,12027
288,1258
289,2472
290,761
291,26314
292,245724
293,2073
294,1052
295,78486
296,22019
297,1061
298,1238
299,20982
300,3373
301,2644
302,1235
303,4114
304,1918
305,503
306,2568
307,13415
308,2208
309,20817
310,689
311,4754
312,35138
313,236521
314,11614
315,67725
316,10392
317,18070
318,1172
319,1237
320,295
321,49813
322,1580
323,7147
324,24715
325,968
326,361
327,2497
328,316086
329,2355
330,596
331,349
332,190
333,575
334,1826
335,382441
336,475
337,0
338,73
339,94884
340,15992
341,13374
342,3204
343,3048
344,13893
345,1042
346,45133
347,578
348,60
349,5356
350,91618
351,178024
352,3410
353,67946
354,423624
355,88039
356,1347
357,790
358,1149
359,28166
360,20277
361,1275
362,3842
363,3188
364,3341
365,24741
366,1577
367,1187
368,2714
369,5380
370,1501
371,153430
372,4218
373,931
374,2961
375,41496
376,3166
377,260
378,1441755
379,1153
380,3411
381,102
382,1537
383,1188
384,3502
385,4928
386,127016
387,1345
388,1360
389,1780
390,741237
391,189
392,1158
393,855
394,0
395,10268
396,2209898
397,0
398,660
399,1653
400,216929
401,64360
402,678
403,1138
404,758
405,1138
406,2471
407,9606
408,0
409,263
410,816
411,171
412,1769
413,5066
414,565
415,1803
416,1494
417,805
418,17957
419,1649
420,4721
421,17802
422,65222
423,100
424,1312
425,3748
426,68434
427,2887
428,1643
429,7401
430,373648
431,360121
432,4280
433,209321
434,9930
435,3467
436,95070
437,22176
438,63
439,27491
440,256
441,1425
442,16960
443,7399
444,1235
445,20388
446,313
447,359588
448,1300
449,3039
450,4608
451,133
452,1757
453,1450
454,73566
455,55670
456,2703
457,29441
458,1393
459,3964
460,299
461,42149
462,8356
463,0
464,2287
465,1764
466,1549
467,91947
468,0
469,848
470,206
471,3560
472,874
473,32057
474,245
475,1692
476,520
477,63492
478,376
479,5758
480,3871
481,2266
482,1846
483,2140
484,3014
485,781
486,945
487,214
488,306
489,4018
490,11563
491,362
492,0
493,112
494,5849
495,4398
496,7355
497,101347
498,4549
499,1347
500,2093
501,183
502,92
503,32108
504,3143
