Health Region ID,Population
0,306517
1,93642
2,77559
3,36818
4,17990
5,77866
6,44348
7,116080
8,81370
9,105501
10,89391
11,119958
12,409427
13,203837
14,175059
15,173876
16,48998
17,26921
18,77792
19,44688
20,199977
21,274880
22,700616
23,497766
25,310733
26,1886481
27,369166
28,145690
29,94766
30,14139
31,94079
32,410829
34,401553
35,471748
36,559705
37,1442433
39,12090
40,16350
41,114810
42,137102
43,608124
44,87461
45,158670
46,108051
47,172366
48,501709
49,519949
50,160192
51,59100
52,104075
53,191562
54,126199
55,164973
56,439151
57,431346
58,124787
59,74741
60,883391
61,105719
62,1296759
63,75112
64,134933
65,84218
66,102617
67,196545
68,504110
69,194620
70,147346
71,33365
72,507096
73,265256
74,388782
75,1032524
76,2615060
77,677595
78,53229
79,43035
80,68453
81,80182
82,106697
84,68436
85,39735
86,23219
87,46874
89,813
90,55348
91,52515
92,42347
93,254470
94,54840
95,310332
96,41825
97,40930
98,75496
99,70605
100,21613
101,10838
102,2222
103,168009
104,105912
105,1360722
106,316212
107,117407
108,1161944
109,178792
110,147133
111,89126
112,75841
113,77252
114,341818
115,214581
116,277386
117,601918
118,718247
119,190473
120,617838
122,271263
124,359991
125,258393
126,118296
127,72474
128,138815
129,65471
130,33897
131,41462
132,31906
